motor,cmd_duty,t,actual_duty,erpm,imotor,ibatt,id,iq,vin,fault,trips,qdrop,crc
left,-0.6,0.09541427699150518,-0.6,-4848.0,0.23,0.48,0.0,-0.23,42.6,0,0,0,0
left,-0.6,0.23039217002224177,-0.6,-5161.0,0.34,0.64,-0.01,-0.34,42.6,0,0,0,0
left,-0.65,0.08502943598432466,-0.65,-5161.0,0.26,0.54,0.0,-0.26,42.6,0,0,0,0
left,-0.65,0.22004213102627546,-0.65,-5714.0,0.33,0.68,0.02,-0.33,42.6,0,0,0,0
left,-0.7,0.07442746497690678,-0.65,-5714.0,0.31,0.66,0.0,-0.31,42.6,0,0,0,0
left,-0.7,0.19911215896718204,-0.7,-6153.0,0.32,0.74,0.01,-0.32,42.6,0,0,0,0
left,-0.75,0.08498538000276312,-0.75,-6153.0,0.24,0.64,-0.01,-0.24,42.6,0,0,0,0
left,-0.75,0.2101379309897311,-0.75,-6666.0,0.33,0.8,0.01,-0.33,42.6,0,0,0,0
left,-0.8,0.08493708696914837,-0.75,-6666.0,0.21,0.68,0.0,-0.21,42.6,0,0,0,0
left,-0.8,0.21940561797237024,-0.8,-7272.0,0.29,0.86,0.03,-0.29,42.6,0,0,0,0
left,-0.85,0.08473450498422608,-0.8,-7272.0,0.2,0.74,-0.01,-0.2,42.6,0,0,0,0
left,-0.85,0.20951152697671205,-0.85,-7619.0,0.3,1.0,0.01,-0.3,42.6,0,0,0,0
left,-0.9,0.08478763600578532,-0.9,-7619.0,0.17,0.8,0.0,-0.17,42.6,0,0,0,0
left,-0.9,0.2223517540260218,-0.9,-8000.0,0.25,1.06,0.01,-0.25,42.6,0,0,0,0
left,-0.95,0.08488449698779732,-0.95,-8000.0,0.1,0.86,0.0,-0.1,42.6,0,0,0,0
left,-0.95,0.2096178900101222,-0.95,-8421.0,0.17,1.1,0.0,-0.17,42.6,0,0,0,0
left,-1.0,0.08495146501809359,-0.95,-8421.0,0.07,0.96,-0.01,-0.07,42.6,0,0,0,0
left,-1.0,0.2095425000297837,-1.0,-8888.0,0.5,1.16,0.03,0.5,42.6,0,0,0,0
left,-0.95,0.08509043301455677,-0.95,-8888.0,0.59,1.02,0.0,0.59,42.6,0,0,0,0
