host_time,sample_index,firmware_seq,firmware_time_s,mode,mode_name,dq_reference,cmdL,cmdR,rpmL,rpmR,iqL_A,iqR_A,idL_A,idR_A,idcL_A,idcR_A,hallL,hallR,dcl_raw,rla_raw,rlb_raw,dcr_raw,rrb_raw,rrc_raw,battery_V,temperature_C,foc_isr_cycles,foc_isr_us,foc_isr_load_pct,encoder_position,position_target,position_speed_ref_rpm,encoder_elec_angle_deg,encoder_rpm,encoder_sync_state,encoder_sync_text,hw_profile,hw_profile_name,foc_isr_cycles_max,enabled,timeout,left_fault,right_fault,calibrating,calibration_pct
2026-08-30T17:04:15.715,43,3335,0.860000,2,FOC SPD,generated rotor dq,20,20,554,547,0.0400,1.0300,-1.5800,-0.0400,0.6000,0.6400,011,101,1937,1996,1936,1961,1884,1958,42.300,42.20,3066,47.9062,76.650,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.736,44,3336,0.880000,2,FOC SPD,generated rotor dq,20,20,561,541,0.5900,0.8600,-0.2700,-0.4200,0.3400,1.0400,010,100,1923,2013,1877,1971,1963,1913,42.300,42.20,2987,46.6719,74.675,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.756,45,3337,0.900000,2,FOC SPD,generated rotor dq,20,20,554,547,0.4600,0.6200,0.3700,-0.4500,0.2400,1.1400,110,010,1916,1977,1939,1978,1993,1893,42.300,42.20,2987,46.6719,74.675,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.777,46,3338,0.920000,2,FOC SPD,generated rotor dq,20,20,547,541,0.7400,0.8100,-0.5200,-0.3400,0.6400,1.3200,100,011,1939,1927,1964,1987,1939,1967,42.300,42.20,2994,46.7812,74.850,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.797,47,3339,0.940000,2,FOC SPD,generated rotor dq,20,20,561,547,0.4800,0.6800,-0.1800,-0.0100,0.4600,0.7800,101,001,1929,1936,1983,1963,1924,1948,42.300,42.20,2990,46.7188,74.750,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.817,48,3340,0.960000,2,FOC SPD,generated rotor dq,20,20,554,534,0.5200,1.1200,-0.2200,-0.2800,0.5000,1.0400,011,100,1931,1969,1973,1975,1981,1778,42.300,42.20,2980,46.5625,74.500,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.837,49,3341,0.980000,2,FOC SPD,generated rotor dq,20,20,561,541,0.9700,0.1900,0.1500,0.0700,0.6200,0.7800,010,010,1937,2001,1963,1961,1964,1920,42.300,42.20,3072,48.0000,76.800,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.858,50,3342,1.000000,2,FOC SPD,generated rotor dq,20,20,554,547,1.0600,0.3300,-0.3700,0.1400,0.2800,0.7200,110,011,1921,1988,1939,1966,1971,1943,42.300,42.20,2979,46.5469,74.475,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.878,51,3343,1.020000,2,FOC SPD,generated rotor dq,20,20,554,547,0.9800,0.8700,0.1000,-0.2500,0.4600,0.6800,100,101,1928,1895,1971,1964,1923,1971,42.300,42.20,3072,48.0000,76.800,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
2026-08-30T17:04:15.899,52,3344,1.040000,2,FOC SPD,generated rotor dq,20,20,554,541,0.5000,0.9300,0.3000,-0.0200,0.6000,0.8000,101,100,1931,1924,1981,1960,1975,1851,42.300,42.20,2974,46.4688,74.350,0,0,0,0.0,0,0,idle,1,two_hall,3636,1,0,0,0,0,100.0
